# RT Interface segments extracted from VTK
# Format: x1 y1 x2 y2
# Number of segments: 2914
0.27375001 0.16455607 0.27236357 0.16625001
0.27625000 0.16507991 0.27375001 0.16455607
0.27825201 0.16625001 0.27625000 0.16507991
0.27236357 0.16625001 0.27176008 0.16875000
0.27825201 0.16625001 0.27875000 0.16675925
0.28125000 0.16718675 0.27875000 0.16675925
0.28375000 0.16767818 0.28125000 0.16718675
0.28625000 0.16812932 0.28375000 0.16767818
0.28687066 0.16875000 0.28625000 0.16812932
0.26374999 0.17012924 0.26216304 0.17125000
0.26625001 0.16990148 0.26374999 0.17012924
0.26875001 0.16948037 0.26625001 0.16990148
0.27125001 0.16926007 0.26875001 0.16948037
0.27176008 0.16875000 0.27125001 0.16926007
0.28125000 0.17098467 0.28056297 0.17125000
0.28143400 0.17125000 0.28125000 0.17098467
0.28687066 0.16875000 0.28874999 0.17036802
0.28963196 0.17125000 0.28874999 0.17036802
0.25624999 0.17298664 0.25548664 0.17375000
0.25874999 0.17280823 0.25624999 0.17298664
0.26124999 0.17204648 0.25874999 0.17280823
0.26216304 0.17125000 0.26124999 0.17204648
0.27375001 0.17300932 0.27243492 0.17375000
0.27625000 0.17352499 0.27375001 0.17300932
0.27875000 0.17164393 0.27625000 0.17352499
0.28056297 0.17125000 0.27875000 0.17164393
0.28143400 0.17125000 0.28262764 0.17375000
0.28963196 0.17125000 0.29124999 0.17325471
0.29174528 0.17375000 0.29124999 0.17325471
0.25375000 0.17505370 0.25255370 0.17625000
0.25548664 0.17375000 0.25375000 0.17505370
0.26875001 0.17471139 0.26727539 0.17625000
0.27125001 0.17443752 0.26875001 0.17471139
0.27243492 0.17375000 0.27125001 0.17443752
0.27625000 0.17430826 0.27561003 0.17625000
0.27875000 0.17610039 0.27625000 0.17430826
0.28125000 0.17503490 0.27875000 0.17610039
0.28262764 0.17375000 0.28125000 0.17503490
0.29174528 0.17375000 0.29274207 0.17625000
0.36125001 0.17529622 0.36031437 0.17625000
0.36375001 0.17417440 0.36125001 0.17529622
0.36625001 0.17459774 0.36375001 0.17417440
0.36852199 0.17625000 0.36625001 0.17459774
0.25125000 0.17841116 0.25091115 0.17875001
0.25255370 0.17625000 0.25125000 0.17841116
0.26625001 0.17728040 0.26415613 0.17875001
0.26727539 0.17625000 0.26625001 0.17728040
0.27375001 0.17861181 0.27336308 0.17875001
0.27561003 0.17625000 0.27625000 0.17689003
0.27388820 0.17875001 0.27375001 0.17861181
0.27813795 0.17875001 0.27625000 0.17689003
0.29274207 0.17625000 0.29374999 0.17871790
0.29377177 0.17875001 0.29374999 0.17871790
0.36031437 0.17625000 0.35910124 0.17875001
0.36375001 0.17831586 0.36335456 0.17875001
0.36473197 0.17875001 0.36375001 0.17831586
0.36852199 0.17625000 0.36875001 0.17649142
0.37024283 0.17875001 0.36875001 0.17649142
0.25091115 0.17875001 0.24995598 0.18125001
0.26374999 0.17915335 0.26230249 0.18125001
0.26415613 0.17875001 0.26374999 0.17915335
0.27125001 0.18085796 0.27109283 0.18125001
0.27336308 0.17875001 0.27125001 0.18085796
0.27388820 0.17875001 0.27414206 0.18125001
0.27813795 0.17875001 0.27875000 0.17936191
0.28125000 0.17995581 0.27875000 0.17936191
0.28375000 0.18028806 0.28125000 0.17995581
0.28625000 0.18026410 0.28375000 0.18028806
0.28724879 0.18125001 0.28625000 0.18026410
0.29377177 0.17875001 0.29466394 0.18125001
0.35874999 0.17910126 0.35637879 0.18125001
0.35910124 0.17875001 0.35874999 0.17910126
0.36335456 0.17875001 0.36259589 0.18125001
0.36473197 0.17875001 0.36625001 0.17930181
0.36846891 0.18125001 0.36625001 0.17930181
0.37024283 0.17875001 0.37125000 0.18049262
0.37179404 0.18125001 0.37125000 0.18049262
0.24995598 0.18125001 0.24960494 0.18375000
0.26124999 0.18230249 0.25951114 0.18375000
0.26230249 0.18125001 0.26124999 0.18230249
0.27109283 0.18125001 0.27125001 0.18166150
0.27280143 0.18375000 0.27125001 0.18166150
0.27414206 0.18125001 0.27453324 0.18375000
0.28724879 0.18125001 0.28789335 0.18375000
0.29466394 0.18125001 0.29488578 0.18375000
0.35624999 0.18138005 0.35502195 0.18375000
0.35637879 0.18125001 0.35624999 0.18138005
0.36259589 0.18125001 0.36158094 0.18375000
0.36846891 0.18125001 0.36875001 0.18242408
0.36973092 0.18375000 0.36875001 0.18242408
0.37179404 0.18125001 0.37192923 0.18375000
0.21125001 0.18616885 0.21106419 0.18625000
0.21375000 0.18594542 0.21125001 0.18616885
0.21625000 0.18510094 0.21375000 0.18594542
0.21875000 0.18425404 0.21625000 0.18510094
0.22125000 0.18553196 0.21875000 0.18425404
0.22184028 0.18625000 0.22125000 0.18553196
0.24960494 0.18375000 0.24928977 0.18625000
0.25874999 0.18457662 0.25723082 0.18625000
0.25951114 0.18375000 0.25874999 0.18457662
0.27280143 0.18375000 0.27375001 0.18430193
0.27453324 0.18375000 0.27375001 0.18430193
0.28625000 0.18493961 0.28454447 0.18625000
0.28789335 0.18375000 0.28625000 0.18493961
0.29488578 0.18375000 0.29480359 0.18625000
0.35502195 0.18375000 0.35393411 0.18625000
0.35874999 0.18519296 0.35754210 0.18625000
0.36125001 0.18398775 0.35874999 0.18519296
0.36158094 0.18375000 0.36125001 0.18398775
0.36875001 0.18588245 0.36868981 0.18625000
0.36973092 0.18375000 0.36875001 0.18588245
0.37192923 0.18375000 0.37129343 0.18625000
0.21106419 0.18625000 0.21125001 0.18652341
0.21375000 0.18684845 0.21125001 0.18652341
0.21625000 0.18659405 0.21375000 0.18684845
0.21875000 0.18722373 0.21625000 0.18659405
0.22033790 0.18875000 0.21875000 0.18722373
0.22184028 0.18625000 0.22192393 0.18875000
0.24928977 0.18625000 0.24948137 0.18875000
0.25723082 0.18625000 0.25678748 0.18875000
0.28454447 0.18625000 0.28470463 0.18875000
0.29480359 0.18625000 0.29421806 0.18875000
0.35374999 0.18643318 0.35189149 0.18875000
0.35393411 0.18625000 0.35374999 0.18643318
0.35754210 0.18625000 0.35728320 0.18875000
0.36868981 0.18625000 0.36841044 0.18875000
0.37125000 0.18648098 0.37016669 0.18875000
0.37129343 0.18625000 0.37125000 0.18648098
0.00625000 0.18964703 0.00466588 0.19125000
0.00875000 0.18968020 0.00625000 0.18964703
0.01125000 0.19006839 0.00875000 0.18968020
0.01375000 0.19028893 0.01125000 0.19006839
0.01471107 0.19125000 0.01375000 0.19028893
0.22033790 0.18875000 0.22037737 0.19125000
0.22192393 0.18875000 0.22292644 0.19125000
0.24948137 0.18875000 0.24978819 0.19125000
0.25678748 0.18875000 0.25874999 0.19011247
0.26124999 0.19050302 0.25874999 0.19011247
0.26216957 0.19125000 0.26124999 0.19050302
0.28470463 0.18875000 0.28475922 0.19125000
0.29374999 0.18938665 0.29240480 0.19125000
0.29421806 0.18875000 0.29374999 0.18938665
0.35124999 0.18939149 0.34996063 0.19125000
0.35189149 0.18875000 0.35124999 0.18939149
0.35624999 0.18987462 0.35456294 0.19125000
0.35728320 0.18875000 0.35624999 0.18987462
0.36841044 0.18875000 0.36875001 0.18914270
0.37016669 0.18875000 0.36875001 0.18914270
0.00466588 0.19125000 0.00418228 0.19374999
0.01471107 0.19125000 0.01625000 0.19275595
0.01724404 0.19374999 0.01625000 0.19275595
0.22037737 0.19125000 0.22051319 0.19374999
0.22292644 0.19125000 0.22234404 0.19374999
0.24978819 0.19125000 0.25125000 0.19342305
0.25157696 0.19374999 0.25125000 0.19342305
0.26216957 0.19125000 0.26304394 0.19374999
0.27875000 0.19309331 0.27670506 0.19374999
0.27963689 0.19374999 0.27875000 0.19309331
0.28475922 0.19125000 0.28487289 0.19374999
0.29240480 0.19125000 0.29143062 0.19374999
0.34996063 0.19125000 0.34881514 0.19374999
0.35456294 0.19125000 0.35377923 0.19374999
0.00375000 0.19445993 0.00289232 0.19624999
0.00418228 0.19374999 0.00375000 0.19445993
0.01724404 0.19374999 0.01818950 0.19624999
0.22051319 0.19374999 0.22125000 0.19449510
0.22234404 0.19374999 0.22125000 0.19449510
0.25157696 0.19374999 0.25265673 0.19624999
0.26304394 0.19374999 0.26281554 0.19624999
0.27625000 0.19436504 0.27595520 0.19624999
0.27670506 0.19374999 0.27625000 0.19436504
0.27963689 0.19374999 0.27962282 0.19624999
0.28487289 0.19374999 0.28607774 0.19624999
0.29124999 0.19393064 0.28996730 0.19624999
0.29143062 0.19374999 0.29124999 0.19393064
0.34875000 0.19385931 0.34797475 0.19624999
0.34881514 0.19374999 0.34875000 0.19385931
0.35374999 0.19384713 0.35306031 0.19624999
0.35377923 0.19374999 0.35374999 0.19384713
0.37625000 0.19556805 0.37543273 0.19624999
0.37875000 0.19503854 0.37625000 0.19556805
0.38124999 0.19506247 0.37875000 0.19503854
0.38374999 0.19527146 0.38124999 0.19506247
0.38472852 0.19624999 0.38374999 0.19527146
0.00289232 0.19624999 0.00247297 0.19875000
0.01125000 0.19713934 0.01000889 0.19875000
0.01375000 0.19868998 0.01125000 0.19713934
0.01383583 0.19875000 0.01375000 0.19868998
0.01818950 0.19624999 0.01875000 0.19729021
0.01945194 0.19875000 0.01875000 0.19729021
0.05375000 0.19809021 0.05306196 0.19875000
0.05625000 0.19775482 0.05375000 0.19809021
0.05875000 0.19722036 0.05625000 0.19775482
0.06125000 0.19778328 0.05875000 0.19722036
0.06208812 0.19875000 0.06125000 0.19778328
0.14125000 0.19773750 0.13888915 0.19875000
0.14375000 0.19737886 0.14125000 0.19773750
0.14517798 0.19875000 0.14375000 0.19737886
0.25265673 0.19624999 0.25375000 0.19829832
0.25580484 0.19875000 0.25375000 0.19829832
0.25874999 0.19863167 0.25732031 0.19875000
0.26124999 0.19746387 0.25874999 0.19863167
0.26281554 0.19624999 0.26124999 0.19746387
0.27595520 0.19624999 0.27588645 0.19875000
0.27875000 0.19799814 0.27778804 0.19875000
0.27962282 0.19624999 0.27875000 0.19799814
0.28607774 0.19624999 0.28625000 0.19642225
0.28874999 0.19746730 0.28625000 0.19642225
0.28996730 0.19624999 0.28874999 0.19746730
0.34797475 0.19624999 0.34773931 0.19875000
0.35306031 0.19624999 0.35302404 0.19875000
0.37375000 0.19734618 0.37135422 0.19875000
0.37543273 0.19624999 0.37375000 0.19734618
0.38472852 0.19624999 0.38624999 0.19780469
0.38719529 0.19875000 0.38624999 0.19780469
0.00247297 0.19875000 0.00234585 0.20125000
0.01000889 0.19875000 0.01125000 0.20116538
0.01133346 0.20125000 0.01125000 0.20116538
0.01383583 0.19875000 0.01625000 0.20115186
0.01661105 0.20125000 0.01625000 0.20115186
0.01945194 0.19875000 0.01911961 0.20125000
0.05125000 0.20003745 0.04980907 0.20125000
0.05306196 0.19875000 0.05125000 0.20003745
0.05625000 0.20099723 0.05603490 0.20125000
0.05642186 0.20125000 0.05625000 0.20099723
0.06208812 0.19875000 0.06257264 0.20125000
0.10625000 0.20118453 0.10618453 0.20125000
0.10875000 0.19942029 0.10625000 0.20118453
0.11125000 0.19924726 0.10875000 0.19942029
0.11375000 0.19908513 0.11125000 0.19924726
0.11504086 0.20125000 0.11375000 0.19908513
0.13875000 0.19899535 0.13814312 0.20125000
0.13888915 0.19875000 0.13875000 0.19899535
0.14517798 0.19875000 0.14624999 0.20120062
0.14630502 0.20125000 0.14624999 0.20120062
0.19374999 0.19994399 0.19210279 0.20125000
0.19624999 0.19993477 0.19374999 0.19994399
0.19841388 0.20125000 0.19624999 0.19993477
0.20125000 0.20011175 0.19913684 0.20125000
0.20375000 0.19997549 0.20125000 0.20011175
0.20499860 0.20125000 0.20375000 0.19997549
0.25580484 0.19875000 0.25624999 0.19883940
0.25732031 0.19875000 0.25624999 0.19883940
0.27588645 0.19875000 0.27625000 0.19999942
0.27778804 0.19875000 0.27625000 0.19999942
0.34773931 0.19875000 0.34806728 0.20125000
0.35302404 0.19875000 0.35374999 0.19954574
0.35486913 0.20125000 0.35374999 0.19954574
0.37135422 0.19875000 0.37375000 0.20045704
0.37625000 0.19989544 0.37375000 0.20045704
0.37875000 0.19960435 0.37625000 0.19989544
0.38057396 0.20125000 0.37875000 0.19960435
0.38719529 0.19875000 0.38777819 0.20125000
0.00234585 0.20125000 0.00249974 0.20375000
0.00875000 0.20294139 0.00794138 0.20375000
0.01125000 0.20133348 0.00875000 0.20294139
0.01133346 0.20125000 0.01125000 0.20133348
0.01625000 0.20250306 0.01618038 0.20375000
0.01661105 0.20125000 0.01875000 0.20344807
0.01762534 0.20375000 0.01625000 0.20250306
0.01911961 0.20125000 0.01875000 0.20344807
0.04875000 0.20362265 0.04866666 0.20375000
0.04980907 0.20125000 0.04875000 0.20362265
0.05375000 0.20213377 0.05249196 0.20375000
0.05603490 0.20125000 0.05375000 0.20213377
0.05642186 0.20125000 0.05875000 0.20286067
0.06055163 0.20375000 0.05875000 0.20286067
0.06257264 0.20125000 0.06173434 0.20375000
0.10618453 0.20125000 0.10520162 0.20375000
0.11125000 0.20217410 0.10995022 0.20375000
0.11375000 0.20249364 0.11125000 0.20217410
0.11504086 0.20125000 0.11625000 0.20235692
0.11490372 0.20375000 0.11375000 0.20249364
0.11729633 0.20375000 0.11625000 0.20235692
0.13814312 0.20125000 0.13875000 0.20216607
0.14125000 0.20169793 0.13875000 0.20216607
0.14264046 0.20375000 0.14125000 0.20169793
0.14630502 0.20125000 0.14772664 0.20375000
0.19210279 0.20125000 0.19145712 0.20375000
0.19841388 0.20125000 0.19875000 0.20158613
0.19913684 0.20125000 0.19875000 0.20158613
0.20499860 0.20125000 0.20625000 0.20250167
0.20749843 0.20375000 0.20625000 0.20250167
0.34806728 0.20125000 0.34875000 0.20318939
0.34906927 0.20375000 0.34875000 0.20318939
0.35486913 0.20125000 0.35548899 0.20375000
0.38057396 0.20125000 0.38124999 0.20283060
0.38169342 0.20375000 0.38124999 0.20283060
0.38777819 0.20125000 0.38874999 0.20236340
0.38985479 0.20375000 0.38874999 0.20236340
0.00249974 0.20375000 0.00225441 0.20625000
0.00625000 0.20529731 0.00529607 0.20625000
0.00794138 0.20375000 0.00875000 0.20472282
0.00737667 0.20625000 0.00625000 0.20529731
0.00984940 0.20625000 0.00875000 0.20472282
0.01618038 0.20375000 0.01514319 0.20625000
0.01762534 0.20375000 0.01710189 0.20625000
